Date,Total_GB (t-11),CC-Barometer (t-9),Total_GB (t-8),IOP (t-8),CC-Barometer (t-8),CC-Barometer (t-7),Total_GB (t-5),CC-Barometer (t-5),PPI (t-1),EMP (t-1),CC-Barometer (t-1),Total_GB (t)
1989-05-01,-1.2669893533352603,-0.3922083684856921,-1.2493650487097665,-1.555583471658512,-0.7917698876863505,-0.6481942206465827,-0.6379852580119334,-1.2308653072132172,-1.3054764893157302,0.04208638975129935,-0.2867042970157522,-1.1675203148850624
1989-06-01,-1.4830358186373298,-0.7917698876863505,-1.4518277108899058,-1.6471174639068393,-0.6481942206465827,0.44366179747348244,-1.5018620518652908,-0.21273567964668622,-1.2849518475766928,0.04208638975129935,0.5564783377372835,-1.4203401676632843
1989-07-01,-1.4984140730239466,-0.6481942206465827,-1.348351707787737,-1.5657539152416589,0.44366179747348244,-1.2308653072132172,-1.5157692788710762,0.7008241895242204,-1.2849518475766928,0.093446051820669,-1.4214391190438702,-1.4289097520631397
1989-08-01,-1.2493650487097665,0.44366179747348244,-0.6379852580119334,-1.6166061331573969,-1.2308653072132172,-0.21273567964668622,-1.20323832520612,-1.525457597962708,-1.2849518475766928,0.093446051820669,0.4476153225078118,-1.1443126987304968
1989-09-01,-1.4518277108899058,-1.2308653072132172,-1.5018620518652908,-1.5759243588248073,-0.21273567964668622,0.7008241895242204,-1.4568408959418973,-0.2867042970157522,-1.2798206871419338,0.14480571389003863,0.2267249195017566,-1.3799147089304427
1989-10-01,-1.348351707787737,-0.21273567964668622,-1.5157692788710762,-1.555583471658512,0.7008241895242204,-1.525457597962708,-1.4296105803796477,0.5564783377372835,-1.2644272058376556,0.14480571389003863,0.9237886237784367,-1.2795540726072436
1989-11-01,-0.6379852580119334,0.7008241895242204,-1.20323832520612,-1.6572879074899878,-1.525457597962708,-0.2867042970157522,-1.1675203148850624,-1.4214391190438702,-1.2490337245333778,0.19616537595941558,-2.848049761192846,-0.5002373490353067
1989-12-01,-1.5018620518652908,-1.525457597962708,-1.4568408959418973,-1.464049479410183,-0.2867042970157522,0.5564783377372835,-1.4203401676632843,0.4476153225078118,-1.2387714036638593,0.2475250380287852,0.5231197530635532,-1.416517655695075
1990-01-01,-1.5157692788710762,-0.2867042970157522,-1.4296105803796477,-1.6674583510731347,0.5564783377372835,-1.4214391190438702,-1.4289097520631397,0.2267249195017566,-1.2285090827943406,0.2475250380287852,0.4854785766909491,-1.417039429382701
1990-02-01,-1.20323832520612,0.5564783377372835,-1.1675203148850624,-1.6674583510731347,-1.4214391190438702,0.4476153225078118,-1.1443126987304968,0.9237886237784367,-1.1925909597510254,0.2475250380287852,0.9263890941890145,-1.092017147021679
