,Feature,Importance
20,diff_12_1 (t-10),0.015050871901760661
34,diff_12_1 (t-8),0.0287088439880459
40,CC-Barometer (t-7),0.015533764765313436
54,CC-Barometer (t-5),0.03510697275938434
55,diff_12_1 (t-5),0.019691420981855636
